epoca	fold	error[prom MSE]	tiempo[s]
0	0	3532.4240322664	29
1	1	0.70306734254671	1437
1	2	0.67187488278297	2775
1	3	0.68013999983025	4105
1	4	0.73456067490092	5435
1	5	0.69839130435732	6791
1	6	0.63271087117823	8125
1	7	0.66964724985047	9462
1	8	0.6181903543953	10798
1	9	0.56363649642612	12133
1	10	0.52740602591272	13476
2	1	0.53857503388715	14749
2	2	0.492406055406	16011
2	3	0.50368468956016	17281
2	4	0.5144701257947	18572
2	5	0.50867391275984	19843
2	6	0.46515683695804	21115
2	7	0.47456522619984	22409
2	8	0.45222261743781	23670
2	9	0.43885778347213	24935
2	10	0.47025297866998	26206
3	1	0.44689643138026	27482
3	2	0.43380490848415	28773
3	3	0.44270988268662	30043
3	4	0.4215409574759	31355
3	5	0.41168569232787	32622
3	6	0.43754577012413	33901
3	7	0.43012566376288	35196
3	8	0.39860070930659	36461
3	9	0.40409755674853	37735
3	10	0.41301038043536	39001
4	1	0.40307744061501	40298
4	2	0.4174179156018	41596
4	3	0.39661775402549	42957
4	4	0.386865383412	44221
4	5	0.40329802078891	45490
4	6	0.39927312969402	46760
4	7	0.40479883243836	48046
4	8	0.38347902577587	49311
4	9	0.3857332478545	50581
4	10	0.39593944936534	51853
5	1	0.39429621629573	53144
5	2	0.39058263659288	54414
5	3	0.39567353065758	55677
5	4	0.39030826167409	56946
5	5	0.38203089932323	58234
5	6	0.37318189729864	59495
5	7	0.37703072779263	60773
5	8	0.3776186177934	62040
5	9	0.38892775777738	63326
5	10	0.37200445889102	64656
6	1	0.38510143493567	66049
6	2	0.36848032155476	67403
6	3	0.38451033515369	68738
6	4	0.37905895990646	70075
6	5	0.38381386503762	71399
6	6	0.3674980593768	72747
6	7	0.37818551371876	74016
6	8	0.37149872153831	75272
6	9	0.36848014315724	76533
6	10	0.36917035744313	77792
7	1	0.36475398967565	79074
7	2	0.36897037865731	80328
7	3	0.36612515646786	81590
7	4	0.36690274395623	82846
7	5	0.37652995749993	84132
7	6	0.37055692266764	85398
7	7	0.3752040454339	86654
7	8	0.35950333082587	87909
7	9	0.36993489733015	89175
7	10	0.37138368900199	90461
8	1	0.3622188144101	91722
8	2	0.37238041173847	92981
8	3	0.35733277020779	94227
8	4	0.3671024377196	95490
8	5	0.36152287424091	96769
8	6	0.36524582922284	98033
8	7	0.35716606831794	99293
8	8	0.37048533808552	100555
8	9	0.36042726454511	101835
8	10	0.36554260970043	103103
9	1	0.36785355656623	104362
9	2	0.36311081812778	105627
9	3	0.35480865990669	106887
9	4	0.35804047795101	108168
9	5	0.35309875196978	109421
9	6	0.36776290763784	110681
9	7	0.35556491259038	111968
9	8	0.36141948433968	113229
9	9	0.35963660096285	114493
9	10	0.3564920777156	115771
10	1	0.36344557389574	117028
10	2	0.366009365652	118286
10	3	0.35778544134194	119550
10	4	0.35515148997491	120808
10	5	0.35786587759608	122093
10	6	0.35062378221207	123355
10	7	0.35242606438322	124617
10	8	0.35719020603535	125907
10	9	0.35345380556832	127167
10	10	0.34892284628867	128441
